orderid,buyerid,creditcardid,shippingcost,taxratepercent,totalamount,shippingaddress,shippingzipcode,orderdate,status
3228,95652,6937,15.59,6,48.45,8765 Woodburn Street,77517,2020-12-10 08:33:31,Placed
13157,97321,76353,13.87,9,54.2,5 Kirk Road,37885,2020-11-28 15:39:25,Placed
2637,99900,19109,18.91,8,198.27,9988 Haddow Grove,38141,2020-12-03 11:33:55,Placed
22083,1686,26696,7.36,7,52.3,38 Geronimo Circle,30187,2020-11-02 00:32:32,Paid
3247,7210,68887,15.03,7,48.2,9 West 70th Avenue,26886,2020-12-17 05:01:15,Paid
10351,7708,12570,18.94,7,172.32,8447 Collie Hill Way,54601,2020-11-29 05:04:31,Paid
9265,7708,12570,12.04,6,63.11,8447 Collie Hill Way,54601,2020-12-02 07:37:32,Paid
16010,7957,46612,8.57,9,87.45,2679 CrosshilI Drive,53594,2020-12-29 04:18:55,Paid
5552,7957,46612,11.87,6,89.25,2679 CrosshilI Drive,53594,2020-12-07 06:27:51,Paid
914,8624,44392,18.28,8,83.29,3 Chapman Avenue,15665,2020-12-02 16:53:04,Paid
11061,8680,69696,18.31,9,39.02,3430 Smithstone Crescent,37369,2020-11-15 05:22:29,Paid
130,10295,29148,13.02,6,0.0,4 Shemya Drive,98814,2020-11-14 03:30:04,Paid
21081,11622,78323,19.74,8,34.17,52 Kingfisher Drive,37819,2020-11-13 02:07:11,Paid
13024,11622,78323,2.93,8,105.53,52 Kingfisher Drive,37819,2020-12-05 03:38:01,Paid
3321,16548,82171,17.16,5,146.23,106 Garden Square,67353,2020-11-15 07:00:19,Paid
31024,29694,30750,13.77,8,102.33,07 Abernethyn Road,45326,2020-12-06 10:46:44,Paid
10778,47183,96345,13.03,5,76.79,5 Ridge Place,57520,2020-11-20 21:53:37,Paid
22031,51438,3881,12.02,9,181.41,75 Susitna View Court,96105,2020-11-04 17:43:25,Paid
3698,51438,33469,14.17,9,0.0,75 Susitna View Court,96105,2020-11-02 08:34:04,Paid
28040,53783,64599,18.79,7,109.35,0 Courage Drive,22091,2020-11-15 21:13:04,Paid
8100,53783,11158,3.79,7,93.67,0 Courage Drive,22091,2020-11-02 00:40:18,Paid
25750,57074,15295,14.34,8,115.47,3 St Mungo's Crescent,50468,2020-11-26 08:18:00,Paid
14609,57074,15295,10.51,9,117.33,3 St Mungo's Crescent,50468,2020-11-17 02:07:25,Paid
5378,57364,37877,16.16,8,0.0,7 Lingon Berry Court,41266,2020-11-19 14:14:05,Paid
784,57364,37877,5.93,7,113.68,7 Lingon Berry Court,41266,2020-11-28 09:08:24,Paid
13877,58868,95277,18.98,9,54.06,3 Dalshannon PIace,06119,2020-12-18 18:01:57,Paid
10889,58937,66829,4.84,7,60.48,5 Dolly Varden Avenue,76064,2020-11-26 21:10:43,Paid
28508,60531,73044,18.2,5,71.51,857 Curvi Street,45236,2020-12-24 18:55:55,Paid
13354,10295,29148,1.2,8,46.56,,98814,2020-12-29 18:27:51,Placed
29404,60810,44458,12.73,6,197.53,1172 McLaughlan View,25922,2020-12-29 00:19:44,Paid
7174,61789,38103,8.36,7,27.62,586 Beatson Wynd,44048,2020-11-19 00:07:01,Paid
13703,65637,1615,10.78,6,54.53,0062 Watt Crescent,24526,2020-12-25 09:26:58,Paid
20788,67463,97365,14.24,6,96.92,27 GIenview Crescent,41472,2020-11-19 22:32:29,Paid
17011,67463,68040,8.96,8,108.68,27 GIenview Crescent,41472,2020-11-09 20:46:39,Paid
3090,67463,1686,16.42,5,117.85,27 GIenview Crescent,41472,2020-12-04 09:05:22,Paid
6310,72897,19719,4.39,5,66.11,311 Grumman Street,67448,2020-11-18 19:45:20,Paid
20699,76339,93116,3.82,9,75.32,660 RaewelI Crescent,04268,2020-11-28 02:01:05,Paid
24069,76394,1499,10.97,6,73.51,5252 Smithstone Crescent,23175,2020-11-03 08:46:14,Paid
12403,80753,54727,16.31,6,39.63,1522 Gold Circle,53177,2020-12-22 04:15:37,Paid
10660,81731,36749,7.03,5,23.49,7749 GIengariff Road,20852,2020-12-10 01:23:25,Paid
23168,85348,4842,17.08,7,82.35,728 Cam Island Circle,02881,2020-12-31 01:41:01,Paid
20400,95652,19279,16.34,7,139.93,8765 Woodburn Street,77517,2020-11-02 16:17:58,Paid
25327,99173,76724,18.2,7,146.14,8677 Hawthorn Terrace,55808,2020-11-08 17:43:28,Paid
5508,99173,55995,13.04,8,102.68,8677 Hawthorn Terrace,55808,2020-12-04 05:07:13,Paid
29626,93153,60610,2.01,7,50.16,,04932,2020-12-04 22:57:14,Placed
2512,53783,64599,1.81,9,50.29,,22091,2020-12-18 18:46:00,Paid
23819,58868,49129,1.47,6,97.69,,06119,2020-11-04 06:02:02,Paid
2475,67463,1686,1.91,9,88.49,,41472,2020-12-01 06:45:06,Paid
8862,98114,49629,1.17,6,107.98,,44681,2020-11-12 15:13:46,Paid
8140,99173,50024,2.11,7,80.22,,55808,2020-11-02 18:02:41,Paid
